word,category,meanings,is
अन्तर,ना.,"गुण, संख्या, समय आदिमा रहेको भिन्नता
भित्र रहेको भाग; कुना काप्चा",SII
अन्तरवार्ता,सङ्.  ना.,कुनै विषयवस्तुमाथि केन्द्रित भएर गरिने प्रश्नोत्तर,SIISS
अन्तराल,ना.,"समयका दुई विन्दु विचको अवधि
कुनै कुरामा आएको परिवर्तन वा भिन्नता; फरक",SISI
अन्तरिक्ष,ना.,ब्रम्हाण्डको पृथ्वी भन्दा बाहिरको भाग,SISI
अन्तर्गत,वि.,कुनै कुराको अङ्ग भएर रहेको; भित्र पर्ने,SSII
अन्तस्करण,ना.,मनको भित्री भागमा रहेको सोच; भित्री विचार,SSIII
अन्तिम,वि.,सबैभन्दा पछिको ; अन्त्यमा रहेको,SII
अन्त्य,असङ्.  ना.,"समाप्ति
पुछार, पछिल्लो छेउ
आखिरी समय
मृत्यु
समाधान
समाप्त
पूरा",SI
अन्दाज,ना.,अनुमान; अड्कल,SSI
अन्धकार,असङ्.  ना.,प्रकाश नभएको अवस्था,SISI
अन्धो,वि.,आँखाको देख्ने शक्ति नभएको; नदेख्ने,SS
अन्न,ना.,"मुख्य खानाको रूपमा प्रयोग गरिने धान, मकै, गँहु, कोदो जस्ता खाद्य बाली",SI
अन्य,वि.,तोकिएको भन्दा बाहेक; अरू वा अर्को,SI
अन्यथा,ना.,"अन्य अवस्था वा स्थिति; अर्कै कुरा
भनिएको कुरा नभएमा; नत्र",SIS
अन्योल,ना.,अनिश्चितता र अनिर्णयको अवस्था,SSI
अन्वेषण,ना.,नयाँ कुराको खोज अनुसन्धान,SSII
अपनाउनु,क्रि.,"पालना गर्नु 
स्वीकार गर्नु ",IISII
अपभ्रंश,सङ्.  ना.,"खराब चलन वा विकृति
संस्कृतबाट विकास भएका प्राकृत र पाली भाषाभन्दा पछि र नेपाली, हिन्दी आदि आधुनिक आर्यभाषाहरूको विकास हुनुभन्दा पहिले प्रचलनमा रहेका भाषाहरूको साझा नाम
भाषाको कुनै शब्दमा परिवर्तन भएर बनेको नयाँ शब्द",ISSI
अपराध,सङ्.  ना.,"कानुनबमोजिम सजाय हुने समाज, धर्म, नैतिकता आदि विरुद्ध गएर अरूलाई हानी नोक्सानी पुर्याउने काम",IISI
अपरेटर,ना.,"कुनै प्रणाली वा साधन सञ्चालन गर्ने व्यक्ति, संस्था आदि",IISII
अपितु,सं.,छुट्टा-छुट्टै  उपवाक्यहरू बीचको असामाञ्जस्य   स्थिति देखाउन प्रयोग गरिने संयोजक; बरु; तर,III
अपिल,ना.,"कुनै कार्य गर्न वा नगर्न सम्बन्धित संस्था वा व्यक्तिसँग गरिएको निवेदन, अनुरोध",III
अपेक्षा,ना.,केही कुरा हुने आशा,ISS
अप्रिल,ना.,इस्वी संवत्‍ अनुसार वर्षको चौथो महिना; मार्च भन्दा पछिल्लो र मे भन्दा अघिल्लो महिना,SII
अप्रेसन,ना.,"उपचार गर्नको लागि शरीरलाई चिरफार गर्ने काम
प्रहरी तथा सैन्य निकायले अपराध नियन्त्रण वा सुरक्षाको लागि गर्ने व्यापक कारबाही",SSII
अप्सरा,सङ्.  ना.,हिन्दु धर्मअनुसार स्वर्गका राजा इन्द्रको सभामा नाच्ने विश्वास गरिएकी सुन्दर स्त्री,SIS
अफसोस,ना.,दुःख; खेद; चिन्ता,IISI
अफिस,सङ्.  ना.,"कुनै काम, व्यवसाय आदि सम्बन्धि कार्यालय",III
अफिसर,सङ्.  ना.,कार्यालयको उच्च तहको कर्मचारी वा अधिकारी; अधिकृत,IIII
अब,कासा.  क्रियो.,हालको समय र सोभन्दा पछि; यसपछि,II
अब्बल,वि.,"उच्च तहमा गनिने; अत्यन्त राम्रो मानिएको
उब्जनी आधारमा छुट्टयाइएको जमिनको चार प्रकार  मध्ये सबैभन्दा राम्रो",SII
अभाव,ना.,कुनै कुरा  आवश्यक मात्रामा नभएको वा कत्ति पनि नभएको अवस्था,ISI
अभिनन्दन,ना.,समाजको हित हुने कुनै पनि क्षेत्रमा गर्ने व्यक्तिलाई गरिने सम्मान; सत्कार,IISII
अभिनय,ना.,"नाटक, चलचित्र  आदि विधामा विभिन्न चरित्रहरूको भूमिका निर्वाह गर्ने काम
अरूहरूले गरेको कार्यको अनुकरण; देखासिकी गर्ने काम; नक्कल गर्ने काम",IIII
अभिनेत्री,सङ्.  ना.,"चलचित्र, नाटक आदिमा नायिकाको रूपमा काम गर्ने महिला",IISS
अभिप्राय,ना.,"भन्न खोजेको कुरा; कुराको आशय वा तात्पर्य
कुनै कामको उद्देश्य",ISSI
अभिभावक,सङ्.  ना.,"संरक्षण, रेखदेख, पालनपोषण वा हेरविचार गर्ने व्यक्ति
बाबुआमा",IISII
अभियान,सङ्.  ना.,कुनै पनि क्षेत्रमा खास उद्देश्य वा लक्ष्य प्राप्तिका लागि गरिने सामूहिक सहभागितामूलक विशेष गतिविधि,IISI
अभिलाषा,ना.,केही कुरा प्राप्त गर्न राखिएको चाहना,IISS
अभिवादन,ना.,"मान्यजनहरूलाई गरिने आदर, सम्मान, ढोग, नमस्कार आदि
सामाजिक चाल-चलन अनुसार भेटघाट वा विदाइ हुँदा वा पत्रको सुरुमा सम्मान जनाउने काम वा त्यस्तो उद्देश्यले व्यक्त गरिने अभिव्यक्ति",IISII
अभिशाप,ना.,नराम्रो परिणाम ल्याउने कुरा; सराप,IISI
अभिषेक,ना.,चोखो अथवा मन्त्रद्वारा शुद्ध पारिएको पानीले छर्कने काम,IISI
अभ्यास,ना.,"कुनै कुरालाई आत्मसात गर्न गरिने प्रयास
कुनै ज्ञान हासिल गर्न र त्यसमा दक्षता प्राप्त गर्न त्यससँग सम्बन्धित समस्याहरूलाई पटकपटक हल गर्ने प्रयास",SSI
अमर,वि.,सधैं बाँचीरहने; कहिल्यै नमर्ने,III
